doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
borrowing-undergraduate-staff,data/thu-vien-vinuni/borrowing-undergraduate-staff.md,Borrowing for undergraduate students and staff,https://library.vinuni.edu.vn/services/borrow-and-request/undergraduate-and-staff/,2026-09-19,not-stated,public-source
borrowing-graduate-faculty,data/thu-vien-vinuni/borrowing-graduate-faculty.md,"Borrowing for graduate students, faculty and instructors",https://library.vinuni.edu.vn/services/borrow-and-request/graduate-faculty-and-instructors/,2026-09-19,not-stated,public-source
borrowing-privilege,data/thu-vien-vinuni/borrowing-privilege.md,Borrowing privilege by user group,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-09-19,not-stated,public-source
equipment-loans,data/thu-vien-vinuni/equipment-loans.md,Equipment loans,https://library.vinuni.edu.vn/equipment-loans/,2026-09-19,not-stated,public-source
fines-and-charges,data/thu-vien-vinuni/fines-and-charges.md,Fines and other charges,https://library.vinuni.edu.vn/fine-and-other-charges/,2026-09-19,not-stated,public-source
hours-and-access,data/thu-vien-vinuni/hours-and-access.md,Library hours and access,https://library.vinuni.edu.vn/about-us/hours-and-access/,2026-09-19,not-stated,public-source
room-booking,data/thu-vien-vinuni/room-booking.md,Group study room booking,https://library.vinuni.edu.vn/room-booking/,2026-09-19,not-stated,public-source
library-faq,data/thu-vien-vinuni/library-faq.md,Library FAQ,https://library.vinuni.edu.vn/faq/,2026-09-19,2024,public-source
borrowing-undergraduate-staff-vi,data/thu-vien-vinuni/borrowing-undergraduate-staff-vi.md,Mượn tài liệu dành cho sinh viên đại học và nhân viên,https://library.vinuni.edu.vn/services/borrow-and-request/undergraduate-and-staff/,2026-09-19,not-stated,translation-of-public-source
borrowing-graduate-faculty-vi,data/thu-vien-vinuni/borrowing-graduate-faculty-vi.md,"Mượn tài liệu dành cho học viên sau đại học, giảng viên và người hướng dẫn",https://library.vinuni.edu.vn/services/borrow-and-request/graduate-faculty-and-instructors/,2026-09-19,not-stated,translation-of-public-source
borrowing-privilege-vi,data/thu-vien-vinuni/borrowing-privilege-vi.md,Quyền mượn tài liệu theo nhóm người dùng,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-09-19,not-stated,translation-of-public-source
equipment-loans-vi,data/thu-vien-vinuni/equipment-loans-vi.md,Mượn thiết bị,https://library.vinuni.edu.vn/equipment-loans/,2026-09-19,not-stated,translation-of-public-source
fines-and-charges-vi,data/thu-vien-vinuni/fines-and-charges-vi.md,Tiền phạt và các khoản phí khác,https://library.vinuni.edu.vn/fine-and-other-charges/,2026-09-19,not-stated,translation-of-public-source
hours-and-access-vi,data/thu-vien-vinuni/hours-and-access-vi.md,Giờ mở cửa và quyền vào thư viện,https://library.vinuni.edu.vn/about-us/hours-and-access/,2026-09-19,not-stated,translation-of-public-source
room-booking-vi,data/thu-vien-vinuni/room-booking-vi.md,Đặt phòng học nhóm,https://library.vinuni.edu.vn/room-booking/,2026-09-19,not-stated,translation-of-public-source
library-faq-vi,data/thu-vien-vinuni/library-faq-vi.md,Câu hỏi thường gặp về thư viện,https://library.vinuni.edu.vn/faq/,2026-09-19,2024,translation-of-public-source
